"id","date","text","codes","definitions","sections"
"8788730","2014-07-22","1. A method for sending a keycode of a non-keyboard apparatus, comprising the steps of: (a) connecting the non-keyboard apparatus to a computer so as to perform device enumeration and generate enumeration information, wherein the enumeration information is recorded by the non-keyboard apparatus and includes an enumeration value; (b) identifying, according to the enumeration value, the kind of an operating system used by the computer, and recording the kind of the operating system by the non-keyboard apparatus; and (c) reading the kind of the operating system so as to determine a preset second keycode that matches the kind of the operating system, wherein the second keycode is an ASCII (American Standard Code for Information Interchange) code.","G06F H03M ","G06F:ELECTRIC DIGITAL DATA PROCESSING (computer systems based on specific computational models G06N)
;H03M:CODING; DECODING; CODE CONVERSION IN GENERAL (using fluidic means F15C4/00; optical analogue/digital converters G02F7/00; coding, decoding or code conversion, specially adapted for particular applications, see the relevant subclasses, e.g. G01D, G01R, G06F, G06T, G09G, G10L, G11B, G11C, H04B, H04L, H04M, H04N; ciphering or deciphering for cryptography or other purposes involving the need for secrecy G09C)
;","G H"
"8621421","2013-12-31","1. A method executed at least in part in a computing device for providing workflow visualization, the method comprising: executing a workflow; receiving a workflow definition; generating a new workflow definition that includes mappings to a static diagram visualizing the workflow; receiving workflow execution state information; loading graphical elements for annotating the static diagram based on the workflow execution state information, wherein the static diagram includes shapes and connectors constructed to represent workflow activities and activity flows described in the workflow definition; enabling a script within a rendering page for rendering the workflow visualization by overlaying the annotations on the static diagram; including one of: a textual visualization and a graphical visualization within the workflow visualization; presenting a list of workflow activities in a chronological order through the textual visualization wherein each entry in the list includes at least two of: a workflow activity, a date of the workflow activity, an identifier of a user associated with the workflow activity, and description of the workflow activity; and presenting the workflow as a flowchart including a start of the workflow and an end of the workflow through the graphical visualization.","G06Q ","G06Q:INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL OR SUPERVISORY PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL OR SUPERVISORY PURPOSES, NOT OTHERWISE PROVIDED FOR
;","G"
"9461433","2016-10-04","1. A light-emitting device comprising: a base; a light-emitting element held by the base; a lens held by the base and disposed above the light-emitting element, configured to condense light emitted from the light-emitting element; a first tubular member disposed on the base; a second tubular member fitted into the first tubular member; a holder allowed to be inserted into the second tubular member and thereby fitted into the second tubular member and having a through hole through which light condensed by the lens passes; and a light-transmitting member formed on the holder so as to block the through hole, the light-transmitting member having a rectangular bottom surface with a size larger than the through hole, wherein the second tubular member has a heat-dissipation part formed on and protruded from an outer side surface thereof, the holder has a structure made of a single member composed of an upper flange portion and a lower insertion fitting portion, the upper flange portion has a lower surface disposed on an upper surface of the second tubular member, and the lower insertion fitting portion of the holder extends up to at least a region where the heat dissipation part of the second tubular member is formed and has an outer side surface that is in contact with an inner side surface of the second tubular member.","G02B H01S ","G02B:OPTICAL ELEMENTS, SYSTEMS OR APPARATUS
;H01S:DEVICES USING THE PROCESS OF LIGHT AMPLIFICATION BY STIMULATED EMISSION OF RADIATION [LASER] TO AMPLIFY OR GENERATE LIGHT; DEVICES USING STIMULATED EMISSION OF ELECTROMAGNETIC RADIATION IN WAVE RANGES OTHER THAN OPTICAL
;","G H"
"9229528","2016-01-05","1. An input apparatus, comprising: a plurality of blocks releasably connectable to each other and each block including at least one of: a position acquisition unit provided with a mechanism to acquire an exact position in a three-dimensional space; a connecting part identification unit configured to acquire a position to which another block is connected; a sensor measurement acquisition unit configured to acquire a measurement of an embedded sensor; an inclination identification unit configured to acquire an inclination; an inter-block communication unit configured to transmit or receive signal to or from one or more of the plurality of blocks via a connecting part, where one or more of the plurality of blocks do not have an inter-block communication unit; and an information transmitting unit configured to transmit information acquired internally to an information processor that uses a signal from the input apparatus as an input value to perform information processing in accordance with the position, posture, and shape of the input apparatus, and the information transmitting unit is configured to transmit, to the information processor, pieces of information acquired within and transmitted from one or more of the plurality of blocks directly or indirectly connected to the block comprising the information transmitting unit, wherein any of the plurality of blocks that are provided with the inter-block communication unit and are connected to the one or more blocks that do not have the inter-block communication unit transmit internally-acquired information directly or indirectly to any of the plurality of blocks that have the information transmitting unit.","A63F A63H B25J G06F G06T ","A63F:CARD, BOARD, OR ROULETTE GAMES; INDOOR GAMES USING SMALL MOVING PLAYING BODIES; VIDEO GAMES; GAMES NOT OTHERWISE PROVIDED FOR
;A63H:TOYS, e.g. TOPS, DOLLS, HOOPS OR BUILDING BLOCKS
;B25J:MANIPULATORS; CHAMBERS PROVIDED WITH MANIPULATION DEVICES ({manipulators specially adapted for use in surgery A61B34/70; manipulators used in cleaning hollow articles B08B9/04} ; manipulators associated with rolling mills B21B39/20; manipulators associated with forging machines B21J13/10; {manipulators associated with picking-up and placing mechanisms B23P19/007} ; means for holding wheels or parts thereof B60B30/00; {vehicles with ground-engaging propulsion means, e.g. walking members B62D57/02, B62D57/032; devices for picking-up and depositing articles or materials between conveyors B65G47/90, B65G47/91; manipulators with gripping or holding means for transferring packages B65H67/065}; cranes B66C; {manipulators used in the protection or supervision of pipe-line installations F17D5/00; walking equipment adapted for nuclear steam-generators F22B37/006}; manipulators specially adapted for, or associated with, nuclear reactors G21C; {apparatus used for handling wafers during manufacture or treatment of semiconductor H01L21/68})
;G06F:ELECTRIC DIGITAL DATA PROCESSING (computer systems based on specific computational models G06N)
;G06T:IMAGE DATA PROCESSING OR GENERATION, IN GENERAL
;","A B G"
"8508147","2013-08-13","1. A dimmer circuit, comprising: a bleeder as a dummy load; a phase dimmer for generating a signal corresponding to an adjustment of the phase dimmer by a user; a phase detect circuit for detecting a phase angle of the signal; a pulse width modulation (PWM) circuit for generating a PWM signal to drive a light emitting diode (LED) device; and a programmable micro controller, coupled to the phase detect circuit, wherein the programmable micro controller receives the signal and the phase angle to determine pulse width of the PWM signal according to the phase angle and the programmable micro controller generates a control signal to turn on/off the bleeder according to the phase angle.","H05B ","H05B:ELECTRIC HEATING; ELECTRIC LIGHT SOURCES NOT OTHERWISE PROVIDED FOR; CIRCUIT ARRANGEMENTS FOR ELECTRIC LIGHT SOURCES, IN GENERAL
;","H"
"9470577","2016-10-18","1. A device comprising: a UV sensing unit comprising a circuitry for measuring irradiating UV intensity; and a mobile computing unit calculating exposed UV dose and cutaneous vitamin D generation for a user of the device based on the measured irradiating UV intensity adjusted by a predetermined scaling factor corresponding to a location of the UV sensing unit relative to an exposed body surface of the user, wherein the mobile computing unit is adapted to calculate and display an output parameter that quantifies a degree of balance between a risk of UV exposure and a benefit of UV exposure.","A61B G01J G01T G06F ","A61B:DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)
;G01J:MEASUREMENT OF INTENSITY, VELOCITY, SPECTRAL CONTENT, POLARISATION, PHASE OR PULSE CHARACTERISTICS OF INFRARED, VISIBLE OR ULTRAVIOLET LIGHT; COLORIMETRY; RADIATION PYROMETRY (light sources F21, H01J, H01K, H05B; investigating properties of materials by optical means G01N)
;G01T:MEASUREMENT OF NUCLEAR OR X-RADIATION (radiation analysis of materials, mass spectrometry G01N23/00; tubes for determining the presence, intensity, density or energy of radiation or particles H01J47/00)
;G06F:ELECTRIC DIGITAL DATA PROCESSING (computer systems based on specific computational models G06N)
;","A G"
"8956227","2015-02-17","1. A non-transitory computer-readable storage medium storing an image processing program for causing a computer of an image processing device to process images, the image processing program comprising instructions, when executed by the computer, configured to: acquire a captured image of a real-world subject with an imaging device; determine an imaging direction of a virtual camera arranged in a virtual space based on motion of the imaging device; locate a virtual object in the virtual space so that the virtual object surrounds and encloses the virtual camera; associate the captured image of the real-world subject to the virtual object located in the virtual space; determine a particular portion of a piece of information in accordance to the imaging direction, the piece of information being information on visual characteristics at each position of the virtual object; generate, in accordance with the virtual camera with the determined imaging direction, an image of the virtual space by adjusting visual characteristics of the virtual object with the associated captured image based on the determined particular portion of the piece of information; and cause a display device to display the generated image, wherein the image is generated on a real-time basis with acquisition of the captured image; wherein the acquired captured image is processed such that a portion of the virtual space is displayed in preference to the particular portion of the captured image.","A63F G06T ","A63F:CARD, BOARD, OR ROULETTE GAMES; INDOOR GAMES USING SMALL MOVING PLAYING BODIES; VIDEO GAMES; GAMES NOT OTHERWISE PROVIDED FOR
;G06T:IMAGE DATA PROCESSING OR GENERATION, IN GENERAL
;","A G"
"8593486","2013-11-26","1. A method for outputting information comprising: photographing in a plurality of directions at each of a plurality of photographic locations a photographic region with a photographing device, obtaining a plurality of image data of the photographic region and storing in a memory, the plurality of image data of the photographic region at each of the plurality of photographic locations, the photographic region being divided into a plurality of sub-regions; correlating and storing in the memory photographic location data and photographic direction data at the time when the plurality of image data is obtained with each of the plurality of image data when storing each of the plurality of image data in the memory; specifying a photographed sub-region when the image data is obtained, by referencing the photographic location data and the photographic direction data correlated with image data stored in the memory; correlating and storing in a database the image data, the photographic location data and photographic direction data with the specified sub-region; specifying a plurality of locations arranged in order on a perspective route set above the photographic region and a direction of sight line towards the photographic region at each of the plurality of locations; referencing the photographic location data correlated with the sub-region stored in the database and reading out in order image data with searching the image data including the sub-region, the sub-region being located in the direction of sight line at each of the plurality of locations on the perspective route; and outputting the image data read out in order; wherein the photographic device includes a plurality of cameras pointing in a plurality of directions, the plurality of cameras simultaneously photograph at each of the plurality of photographic locations and the plurality of image data is obtained; and for each sub-region of the plurality of sub-regions, if a sub-region is photographed a plurality of times when seeing a plurality of photographic locations from an arbitrary geographical point in the sub-region, then an adjacent photographic location is included in a three dimensional angular range of 0.004 steradians or more and 0.54 steradians or less.","G01C G06F G06T H04N ","G01C:MEASURING DISTANCES, LEVELS OR BEARINGS; SURVEYING; NAVIGATION; GYROSCOPIC INSTRUMENTS; PHOTOGRAMMETRY OR VIDEOGRAMMETRY (measuring liquid level G01F; radio navigation, determining distance or velocity by use of propagation effects, e.g. Doppler effects, propagation time, of radio waves, analogous arrangements using other waves G01S)
;G06F:ELECTRIC DIGITAL DATA PROCESSING (computer systems based on specific computational models G06N)
;G06T:IMAGE DATA PROCESSING OR GENERATION, IN GENERAL
;H04N:PICTORIAL COMMUNICATION, e.g. TELEVISION
;","G H"
"9373033","2016-06-21","1. A computer-implemented image processing method, the computer including a processor and a memory operatively coupled to the processor, the method performed by the processor comprising: accessing image data representing a plurality of images of a plurality of vehicles; accessing a discriminative type-specific vehicle model calculated from training data representing a predefined vehicle attribute; processing, using the discriminative type-specific vehicle model, a portion of the image data to automatically detect a vehicle feature of at least one of the plurality of vehicles represented in at least one of the plurality of images based on the predefined vehicle attribute; and processing the portion of the image data to automatically generate vehicle data representing the detected vehicle feature.","G06K G08G ","G06K:GRAPHICAL DATA READING (image or video recognition or understanding G06V); PRESENTATION OF DATA; RECORD CARRIERS; HANDLING RECORD CARRIERS
;G08G:TRAFFIC CONTROL SYSTEMS (guiding railway traffic, ensuring the safety of railway traffic B61L; arrangement of road signs or traffic signals E01F9/00; radar or analogous systems, sonar systems, lidar systems specially adapted for traffic control G01S13/91, G01S15/88, G01S17/88; {radar or analogous systems, sonar systems, lidar systems specially adapted for anti-collision purposes G01S13/93, G01S15/93, G01S17/93})
;","G"
"9353500","2016-05-31","1. A thumb for a heavy equipment vehicle, the heavy equipment vehicle having an equipment train comprising a boom, stick and bucket, the thumb opposing the bucket, the thumb comprising: a) a thumb frame comprising: b) the bucket opposing face of the thumb frame comprising a material having a first degree of hardness; c) the thumb frame comprising a longitudinal length defined by a direction from the proximal end of the thumb frame to the distal end of the thumb frame, the proximal end extending one-half the longitudinal length of the thumb frame, the distal end extending one-half the length of the thumb frame; d) a set of four teeth being engaged to the thumb frame, each of said four teeth comprising a hardened tip; e) one of i) said hardened tip of said tooth and ii) said tooth as a whole being individually removable from said thumb frame; f) a platform defined by said hardened tips of said four teeth; g) said platform extending laterally and longitudinally; h) the platform being spaced from the bucket opposing face of the thumb frame in a depth direction; i) each of said hardened tips having a second degree of hardness, the second degree of hardness being greater than the first degree of hardness; j) wherein one tooth extends from said proximal end of the thumb frame, and wherein one tooth extends from the distal end of the thumb frame such that said platform extends over a portion of said proximal end of the thumb frame and such that said platform extends over a portion of said distal end of the thumb frame; k) wherein the thumb frame comprises a first tine, the first tine extending from the proximal end to the distal end of the thumb frame, said bucket opposing face having a bucket opposing edge on said first tine, a first tooth of said four teeth being engaged to said first tine and the hardened tip of said first tooth being offset from said bucket opposing edge of the first tine in a lateral direction, and a second tooth of said four teeth being engaged to said first tine and the hardened tip of said second tooth being offset from said bucket opposing edge of the first tine in a lateral direction; l) wherein the thumb frame further comprises a second tine, the second tine extending from the proximal end to the distal end of the thumb frame, each of said first and second tines having an outer face and an inner face, the inner faces of said first and second tines facing each other, the outer faces of said first and second tines facing away from each other, said bucket opposing face having a bucket opposing edge on said second tine, said third tooth of said four teeth being engaged to said second tine and the hardened tip of said third tooth being offset from said bucket opposing edge of the second tine in a lateral direction; m) wherein said first tooth is engaged to the first tine in the proximal end of the thumb frame and said third tooth is engaged to the second tine in the proximal end of the thumb frame; n) wherein said second tooth is engaged to the first tine in the distal end of the thumb frame and said fourth tooth is engaged to the second tine in the distal end of the thumb frame; o) wherein each of said first, second, third and fourth hardened tips is spaced apart from the thumb frame in a depth direction; p) a tooth receptacle between each of the four teeth and the thumb frame, the tooth receptacle comprising a through opening extending in a direction from the stick opposing face of the thumb frame to the bucket opposing face of the thumb frame, said opening receiving a tooth of said teeth, said tooth having an end opposite of said hardened tip, said end of said tooth being accessible through said opening such that said tooth can be punched out of the tooth receptacle in the direction from the stick opposing face of the thumb frame to the bucket opposing face of the thumb frame; and q) wherein said tooth receptacle for the first tooth is engaged to the outside face of the first tine, wherein said tooth receptacle for the second tooth is engaged to the outside face of the first tine, wherein said tooth receptacle for the third tooth is engaged to the outside face of the second tine, wherein said tooth receptacle for the fourth tooth is engaged to the outside face of the second tine.","E02F ","E02F:DREDGING; SOIL-SHIFTING (winning peat E21C49/00)
;","E"
